NOMBRE,USUARIO,FECHA,MENSAJE
Primicias,@Primicias,13m,El alcalde Jorge Yunda pondrá a prueba su capacidad negociadora. Para aprobar los pedidos de remoción se necesitan 14 de los 21 votos en el Concejo Metropolitano. » http://prim.ec/bD9e50F19Pt
Primicias,@Primicias,37m,"""No vamos a permitir que pocos concejales vulneren la voluntad del pueblo"", dijo el alcalde Jorge Yunda al llegar al Concejo Metropolitano de Quito. » http://prim.ec/7Fs730rJBuV"
Fermín Antonio Vaca,@FerminVaca,May 31,Tres concejales correístas podrían decidir la suerte de Jorge Yunda.
Radio Elite 99.7 fm,@Radioelite997fm,Jun 1,"Un mes después de que se llamó a juicio al alcalde de Quito, Jorge Yunda, y 13 personas más a quienes se les acusa del delito de peculado por la compra de la Secretaría de Salud de Quito de pruebas PCR, aún no han sido notificados del Tribunal de Juicio."
danilo Camacho,@daniloCamacho2,May 31,No se puede tener como alcalde a una persona con grillete acaso eso no es una ofensa para la capital del Ecuador sr periodista Cano aquí no debe haber pactos sino que los concejales deben responder a sus mandantes y el pueblo dice fuera Yunda y punto final
MF DOOM,@MrRager02,15m,Que turro y duro hablar de la situación del alcalde Yunda.
MF DOOM,@MrRager02,15m,Que turro y duro hablar de la situación del alcalde Yunda.
Primicias,@Primicias,2m,El Consejo Metropolitano de Quito discute este miércoles 2 de junio dos pedidos de remoción contra el alcalde Jorge Yunda. » http://prim.ec/nBtr50F1aQD
Martin Pallares,@Martinminguchi,20m,"Han sacado de la sesión del Concejo a las barras de los mercados. Y Yunda ya llegó a su despacho, cosa que tiene sorprendidos a muchos en el Concejo porque es conocido que nunca está. ¿Qué estará haciendo?, es la pregunta"
Rodrigo,@Rodrigo53341048,7m,"Al estilo de ""mama lucha"", el alcalde Yunda busca la ayuda de los comerciantes de los mercados, para que le apoyen y evitar su destitucion. Con su salida, saldran a la luz, mas actos de corrupcion. Fuera Yunda!."
Justicia Relativa,@JRelativa,May 29,"... salida. Hay que tomar muy en cuenta las ambiciones desmedidas de algunos concejales por ocupar ese puesto y que se han empeñado en serruchar el puesto a Yunda, como su vice alcalde Santiago Guarderas, Luz Elena Coloma y el presentador de televisión Bernardo Abad."
UCSG Televisión,@ucsg_tv,May 28,"#UCSGNoticias | El próximo miércoles, el Concejo Metropolitano de Quito, decidirá sobre la remoción del alcalde de la capital, Jorge Yunda. Informa "
BN Periodismo,@BNPeriodismo,May 28,"La Comisión de Mesa, que revisó los dos pedidos de remoción en contra del alcalde de Quito, aprobó el contenido de ambos informes. Se estima que el próximo 2 de junio, el Concejo Metropolitano decidirá la suerte de Jorge Yunda. Se necesitan 14 de 21 votos para removerlo del cargo"
Un Café con JJ,@UnCafeConJJ,May 27,"El fundador del Colectivo ""Quito Sin Corrupción"", Jan Carlo Parra, explicó los motivos por los que impulsan la remoción de Jorge Yunda como alcalde de la capital. Mira su entrevista completa  https://youtu.be/yAXRSihHLtg"
